year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae2dh264292,ca,31,13505,red,tan,hyundai motor america/co car,14550,13800,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap3dm719922,ca,44,19573,white,gray,nissan infiniti lt,23300,22000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Veloster,Base,Hatchback,automatic,kmhtc6ad7du089181,ca,48,27532,yellow,black,hyundai buybacks,13100,11300,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae7dh345708,ca,2,33158,gray,beige,enterprise vehicle exchange / tra / rental / tulsa,11650,9400,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6dh743092,ca,44,36991,white,beige,avis rac/san leandro,12100,13400,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2dh745910,ca,2,35518,red,beige,enterprise vehicle exchange / tra / rental / tulsa,12200,10700,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Santa Fe,Limited,SUV,automatic,km8sr4hf1du031590,ca,5,15160,blue,gray,hyundai buybacks,23100,22200,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6dm712365,ca,37,20202,black,black,nissan infiniti lt,23200,21750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Genesis Coupe,3.8 Track,Genesis Coupe,automatic,kmhhu6kj0du110296,ca,48,12730,red,black,hyundai motor america/co car,21400,23000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a48da091908,ca,47,11798,black,gray,hyundai motor america/co car,18650,18400,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyztdlb2dg045704,ca,43,41783,green,beige,avis rac/san leandro,17600,17400,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Genesis,5.0 R-Spec,Sedan,automatic,kmhgc4dh6du220492,ca,44,35995,silver,black,hyundai motor america/co car,25900,27200,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm711210,ca,46,17541,white,gray,nissan infiniti lt,23600,24750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7dh680813,ca,38,40322,silver,gray,avis corporation,11900,12300,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7dh636875,ca,38,47516,black,beige,hyundai motor finance,11850,11700,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
